Slug,Title,Sub
advtime,Adventure Time,
alicewonder,Alice in Wonderland,
attackontitan,Attack on Titan,
batman,Batman,
berserk,Berserk,
blackbutler,Black Butler,
blackpanther,Black Panther,
heroaca,Boku no Hero Academia,
cardcaptor,Cardcaptor Sakura,
clamp,CLAMP,cardcaptor
danganronpa,Dangan Ronpa,
darksouls,Dark Souls,
franxx,Darling in the FranXX,
dccomics,DC Comics,batman
devilmancrybaby,Devilman Crybaby,
disney,Disney,alicewonder
ddlc,Doki Doki Literature Club,
dontstarve,Don’t Starve,
dota,DotA,
fantasticbeasts,Fantastic Beasts,
fate,Fate (TYPE-MOON),fgo
fgo,Fate/Grand Order,
ff15,Final Fantasy 15,
ff10,Final Fantasy X,
fma,Fullmetal Alchemist,
gameofthrones,Game of Thrones,
gintama,Gintama,
gbf,Granblue Fantasy,
gundam,Gundam,
hannibal,Hannibal,
harrypotter,Harry Potter,fantasticbeasts
hetalia,Hetalia,
houseki,Houseki no Kuni,
it,IT,
jojo,Jojo’s Bizzare Adventure,
kancolle,Kantai Collection,
kekkeisensen,Kekkei Sensen,
kingdomhearts,Kingdom Hearts,
kokkuri,Kokkuri-san,
leagueoflegends,League of Legends,
lemonysnicket,Lemony Snicket,
llsunshine,Love Live Sunshine,
macross,Macross,
madeinabyss,Made in Abyss,
marvel,Marvel,blackpanther
miraculousladybug,Miraculous LadyBug,
monhun,Monster Hunter,
mhw,Monster Hunter World,mhw
mlp,My Little Pony: Friendship is Magic,
mysticmessenger,Mystic Messenger,
naruto,Naruto,
nekoatsume,Neko Atsume,
nierautomata,Nier Automata,
onepunch,One Punch Man,
onmyouji,Onmyouji,
osomatsu,Osomatsu-san,
overwatch,Overwatch,
pacificrim,Pacific Rim,
pandorahearts,Pandora Hearts,
persona,Persona,persona5
persona5,Persona 5,
pokemon,Pokemon,pokemongo
pokemongo,Pokemon Go,
popteamepic,Pop Team Epic,
residentevil,Resident Evil,
rwby,RWBY,
sailormoon,Sailor Moon,
southpark,South Park,
starvsevil,Star vs. The Forces of Evil,
strangerthings,Stranger Things,
ghibli,Studio Ghibli,
sao,Sword Art Online,
tabikaeru,Tabikaeru,
tolkien,Tolkien,
toukenranbu,Touken Ranbu,
transformers,Transformers,
evergarden,Violet Evergarden,
vocaloid,Vocaloid,
voltron,Voltron,
warhammer,Warhammer 40K,
witcher,Witcher,
yakuza,Yakuza/Ryuu ga Gotoku,
yurionice,Yuri on Ice,
